area_code,latitude,longitude
201,40.83885,-74.04567813
202,38.89511,-77.03637
203,41.29179813,-73.12245313
205,33.42767111,-86.88647333
206,47.56402714,-122.3489757
207,44.000005,-69.987965
208,44.415674,-115.558462
209,37.604049,-120.999087
210,29.42412,-98.49363
212,40.71427,-74.00597
213,34.05223,-118.24368
214,32.86350083,-96.83776792
215,40.05372,-74.99628
216,41.4749,-81.61689545
217,39.91789571,-88.89502857
218,46.29681,-94.05581
219,41.56626333,-87.2636
220,39.74919875,-82.66145
224,42.14730875,-87.94760563
225,30.45075,-91.15455
228,30.38862667,-88.84521333
229,31.205925,-83.71803
231,43.02465,-85.18177333
234,41.06350444,-81.31462611
239,26.45611429,-81.80060857
240,39.047505,-77.12127929
248,42.54372462,-83.26242846
251,30.71658,-88.06097
252,35.42039,-77.43325
253,47.228641,-122.365951
254,31.204726,-97.579188
256,34.41824333,-86.63888167
260,41.1306,-85.12886
262,42.991375,-88.039892
267,40.05372,-74.99628
269,42.27005333,-85.44846333
270,37.44057,-87.00663143
272,41.238118,-76.10365
276,37.55376,-77.46026
281,29.70917889,-95.30039889
301,39.047505,-77.12127929
302,39.52928,-75.60687333
303,39.77755625,-105.0026667
304,39.361145,-81.16209333
305,25.74041704,-80.35898037
307,42.4022675,-105.5566625
308,40.91612,-99.39630333
309,40.93229,-89.85594333
310,33.89912813,-118.3529044
312,41.88475,-88.20396
313,42.31222889,-83.20119111
314,38.64949667,-90.32305333
315,43.253676,-75.862524
316,37.69224,-97.33754
317,39.86670667,-86.07174333
318,32.278824,-92.942602
319,41.92194833,-91.77887833
320,45.5608,-94.16249
321,28.3756865,-81.1535335
323,33.98717818,-118.2120055
325,31.956255,-100.08509
330,41.06350444,-81.31462611
331,41.8771732,-88.0948236
334,32.187855,-85.86078875
336,35.986358,-79.858592
337,30.242168,-92.500372
339,42.38921565,-71.10036565
346,29.70917889,-95.30039889
347,40.691608,-73.959668
351,42.60368286,-71.22620857
352,28.372005,-81.7805925
360,47.41118222,-122.5702911
361,28.04057333,-97.41869667
364,37.44057,-87.00663143
385,40.65385643,-111.8801921
386,29.16779857,-81.11085143
401,41.773583,-71.418123
402,41.23897143,-96.88106286
404,33.73466889,-84.37236667
405,35.504228,-97.413675
406,46.40531,-111.567485
407,28.39369067,-81.30824933
408,37.26716556,-121.8848322
409,29.66411,-94.436145
410,39.24997871,-76.58799065
412,40.39926667,-79.91952778
413,42.19644625,-72.713425
414,42.94616571,-87.95000714
415,37.927565,-122.517545
417,37.14978,-93.90576
419,41.12878286,-83.21476
423,35.84167714,-83.68173
424,33.89912813,-118.3529044
425,47.73323929,-121.8640779
432,32.03003333,-102.01847
434,37.33949333,-79.01659333
435,39.270445,-112.68724
440,41.47965933,-81.69733133
442,33.6695681,-116.7581124
443,39.24997871,-76.58799065
458,43.77279625,-123.1944163
469,32.86905783,-96.82601565
478,32.730835,-83.61615
479,35.849136,-93.987424
480,33.43175143,-111.7910643
484,40.251023,-75.457804
501,34.76818714,-92.42182286
502,38.227575,-85.316345
503,45.34785933,-122.7965427
504,29.94127286,-90.09217714
505,35.54517333,-107.1487933
507,44.04838833,-92.93543
508,42.00699273,-71.22419455
509,46.76512444,-118.7341211
510,37.43248,-121.8074523
512,30.359314,-97.772174
513,39.34930286,-84.49883429
515,41.840495,-93.75476
516,40.70185474,-73.59814053
517,42.48702833,-84.13755167
518,42.819186,-73.833068
520,32.11801571,-110.9764843
530,39.33882286,-121.5665943
531,41.23897143,-96.88106286
539,36.1754425,-95.783525
540,37.82954143,-79.50405714
541,43.77279625,-123.1944163
551,40.83885,-74.04567813
559,36.50766,-119.5360325
561,26.55579333,-80.13544083
562,33.89795286,-118.0842771
563,41.763524,-90.59797
567,41.12878286,-83.21476
570,41.238118,-76.10365
571,38.8324725,-77.270965
573,38.27809667,-91.34191333
574,41.672602,-86.066116
575,33.02238333,-104.6389383
580,35.17099167,-97.964955
585,43.17191333,-77.58194333
586,42.53975857,-82.97031714
601,32.19705429,-89.96107286
602,33.44838,-112.07404
603,43.04893875,-71.33472
605,44.472588,-99.176772
606,38.47841,-82.63794
607,42.20970667,-76.40743667
608,43.042495,-89.563915
609,39.9697625,-74.7087
610,40.251023,-75.457804
612,44.9708,-93.32084
614,40.008745,-83.0058775
615,36.10672375,-86.5878425
616,42.915765,-85.73082
617,42.34858182,-71.10012727
618,38.56595375,-89.9325675
619,32.72058333,-117.0466042
620,38.0473075,-98.7502925
623,33.5849,-112.2981217
626,34.0783752,-118.0051808
628,37.927565,-122.517545
629,36.10672375,-86.5878425
630,41.8771732,-88.0948236
631,40.79404826,-73.20643
636,38.70597833,-90.598965
641,42.07433667,-92.84010667
646,40.71427,-74.00597
650,37.53483375,-122.2846556
651,44.91242571,-93.08408786
657,33.80470067,-117.9245227
660,38.70446,-93.22826
661,35.11786571,-118.7745786
662,34.10931429,-89.63233286
667,39.24997871,-76.58799065
669,37.26716556,-121.8848322
678,33.81447478,-84.36085522
681,39.361145,-81.16209333
682,32.75957533,-97.22340333
701,47.4602675,-99.003305
702,36.14052714,-115.1143643
703,38.8324725,-77.270965
704,35.36768556,-80.74773778
706,33.63948429,-83.94034
707,38.51422909,-122.5273573
708,41.70573476,-87.72693048
712,41.880965,-96.13057
713,29.70917889,-95.30039889
714,33.80470067,-117.9245227
715,45.25371,-90.7018125
716,42.87564,-78.89547375
717,40.1537775,-76.582255
